MOTOR2_load,MOTOR2_Position(X)
208,174.87
0,169.94
0,169.94
0,169.94
0,169.94
8,177.19
8,209.38
8,209.09
0,209.38
120,214.6
136,228.23
128,239.54
160,254.04
208,269.12
248,283.33
288,286.81
256,286.81
216,288.55
0,288.84
0,289.13
0,289.13
0,289.13
0,289.13
0,289.13
24,276.08
56,261
104,245.92
56,230.84
104,215.76
56,200.68
96,184.73
24,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
16,177.48
0,209.38
0,209.38
72,214.6
32,228.81
136,240.12
224,254.33
232,269.99
288,283.33
256,287.39
208,287.39
40,288.55
64,288.55
0,289.42
0,289.13
0,289.13
0,289.13
0,289.13
0,276.08
56,261
64,245.92
24,231.13
24,216.05
24,200.68
24,184.73
32,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
48,177.48
0,209.67
8,209.67
64,214.89
96,228.81
128,239.83
192,254.33
184,269.7
208,283.62
224,287.39
256,287.1
128,288.55
96,288.84
8,289.13
0,289.13
0,289.13
0,289.13
0,289.13
32,276.08
0,261.58
64,245.92
24,231.13
32,216.05
32,200.68
24,184.73
56,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,177.48
8,209.38
0,209.38
32,214.89
64,228.81
128,239.83
152,254.62
232,269.7
256,283.33
256,287.1
224,287.39
96,288.26
56,288.84
0,289.13
0,289.13
0,289.13
0,289.13
0,289.13
32,276.37
24,261.87
16,246.79
32,231.71
24,216.63
56,201.26
24,185.89
32,170.52
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,177.48
8,209.38
0,209.38
32,214.89
64,228.81
128,239.83
152,254.62
232,269.7
256,283.33
256,287.1
224,287.39
96,288.26
56,288.84
0,289.13
0,289.13
0,289.13
0,289.13
0,289.13
32,276.37
24,261.87
16,246.79
32,231.71
24,216.63
56,201.26
24,185.89
32,170.52
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,177.48
8,209.38
0,209.67
32,214.89
64,228.81
128,240.12
152,254.62
232,269.7
264,283.33
256,287.1
256,287.1
96,288.55
96,288.55
0,289.13
0,289.13
0,289.13
0,289.13
0,289.13
40,276.37
16,261.58
32,246.21
64,231.13
56,200.68
56,184.73
32,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
8,177.48
0,209.38
0,209.38
56,214.89
88,228.81
160,239.83
168,254.62
192,269.41
216,283.33
256,287.1
224,287.39
88,288.55
48,288.55
0,289.13
0,289.13
0,289.13
0,289.13
0,289.13
24,276.08
32,261.58
56,245.92
64,231.13
56,216.05
64,200.68
64,184.73
96,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
40,177.48
0,209.38
0,209.38
120,214.6
128,228.81
128,239.83
120,254.33
192,269.7
256,283.62
232,287.39
216,288.26
88,288.55
56,288.55
0,288.84
0,289.13
0,289.13
0,289.13
0,289.13
8,276.08
24,261
32,245.92
24,231.13
72,215.76
24,200.68
64,184.73
64,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
24,177.48
0,209.38
0,209.38
72,214.89
32,228.81
96,239.83
192,254.04
224,269.7
288,283.62
248,287.1
256,287.1
32,288.84
64,288.84
0,289.13
0,289.13
0,289.13
0,289.13
0,289.13
32,276.08
56,261
72,245.92
32,231.13
24,216.05
24,200.68
24,185.02
32,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
48,177.48
0,209.38
0,209.38
0,209.38
120,214.89
96,228.81
120,239.83
152,254.62
192,269.7
248,283.33
256,287.1
256,287.1
96,288.55
56,288.84
0,289.13
0,289.13
0,289.13
0,289.13
0,289.13
24,276.37
16,261.58
64,246.21
56,230.84
64,216.05
56,200.68
24,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
16,177.48
0,209.67
0,209.67
32,214.89
0,228.81
96,239.83
192,254.62
232,269.7
256,283.33
224,287.1
256,287.1
96,288.55
56,288.84
0,289.13
0,289.13
0,289.13
0,289.13
0,289.13
8,276.08
32,245.92
32,230.84
24,215.76
24,200.68
32,184.73
32,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
0,169.94
48,177.48
0,209.38
0,209.38
64,214.89
96,228.81
168,239.83
232,254.33
176,269.7
232,283.33
256,287.39
216,287.39
88,288.55
64,288.84
8,289.13
64,289.13
0,289.13
0,289.13
0,289.13
32,276.37
32,261.58
64,245.92
64,231.13
72,216.05
64,200.68
56,184.73
56,169.94
0,169.94
